timestamp,symbol,timeframe,direction,tier,composite_score,crt_score,smc_score,session,session_bullish,session_bearish,entry,stop_loss,take_profit,sl_source,rr,risk,reward,current_price,distance_to_entry_pct,scenario,freshness_state,age_minutes,displacement_ratio,retracement_pct,in_optimal_ote,premium_discount,ob_type,ob_touches,fvg_type,fvg_filled,msb_confirmed,msb_direction,liquidity_swept,liquidity_direction,confluence_count,signals_list,action,outcome,atr,atr_sl_distance,mtf_alignment,mtf_details
2026-07-26T19:11:10.280272,PSGUSDT,1h,BEARISH,WATCH,48,28,20,LONDON,5,5,0.521,0.523,0.51695,BSL,2.02,0.002,0.00405,0.521,0.0,MSB_RETEST,hot,14,4.2,75.0,False,,BEARISH_OB,6,,,True,BULLISH,,,0,,revalidated,,0.00336,0.002,0,
2026-07-26T19:11:10.283439,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64536.77,64726.32,62735.8503,ATR_min,9.5,189.55,1800.9197,64536.77,0.0,DISPLACEMENT_RETRACEMENT,hot,14,5.13,62.0,True,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,379.1,189.55,0,
2026-07-26T19:11:16.076902,LISTAUSDT,1d,BULLISH,WATCH,51,28,23,ASIA,0,0,0.05073,0.0462,0.06634,SSL,3.45,0.00453,0.01561,0.0473,7.25,DISPLACEMENT_RETRACEMENT,hot,14,3.08,52.6,True,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,revalidated,,0.00435,0.00453,0,
2026-07-26T19:11:16.080132,EPICUSDT,1h,BEARISH,OPPORTUNITY,63,48,15,LONDON,5,5,0.68146,0.7008,0.52496,BSL,8.09,0.01934,0.1565,0.685,0.52,LIQUIDITY_SWEEP,hot,14,5.99,65.6,False,,BEARISH_OB,5,,,False,,True,BULLISH,0,,revalidated,,0.03424,0.01934,0,
2026-07-26T19:11:16.080132,MMTUSDT,1h,BULLISH,OPPORTUNITY,67,44,23,LONDON,5,5,0.1699,0.16874,0.18312,ATR_min,11.4,0.00116,0.01322,0.1699,0.0,FVG_FILL_ENTRY,hot,14,1.69,63.6,False,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,revalidated,,0.00233,0.00116,0,
2026-07-26T19:11:16.080132,MSFTBUSDT,1h,BULLISH,WATCH,57,44,13,LONDON,5,5,384.09,382.52,386.445,SSL,1.5,1.57,2.355,384.09,0.0,FVG_FILL_ENTRY,hot,14,2.21,68.9,False,,BULLISH_OB,2,BULLISH,,False,,,,0,,revalidated,,1.01714,1.57,0,
2026-07-26T19:11:36.626106,PSGUSDT,1h,BEARISH,WATCH,48,28,20,LONDON,5,5,0.521,0.523,0.51695,BSL,2.02,0.002,0.00405,0.521,0.0,MSB_RETEST,hot,,4.2,75.0,False,,BEARISH_OB,6,,,True,BULLISH,,,0,,new,,0.00336,0.002,0,
2026-07-26T19:11:37.038184,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64536.77,64726.32,62735.8503,ATR_min,9.5,189.55,1800.9197,64536.77,0.0,DISPLACEMENT_RETRACEMENT,hot,,5.13,62.0,True,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,379.1,189.55,0,
2026-07-26T19:11:42.322562,LISTAUSDT,1d,BULLISH,WATCH,51,28,23,ASIA,0,0,0.05073,0.0462,0.06634,SSL,3.45,0.00453,0.01561,0.0473,7.25,DISPLACEMENT_RETRACEMENT,hot,,3.08,52.6,True,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,new,,0.00435,0.00453,0,
2026-07-26T19:11:42.533083,EPICUSDT,1h,BEARISH,OPPORTUNITY,63,48,15,LONDON,5,5,0.68146,0.7008,0.52496,BSL,8.09,0.01934,0.1565,0.685,0.52,LIQUIDITY_SWEEP,hot,,5.99,65.6,False,,BEARISH_OB,5,,,False,,True,BULLISH,0,,new,,0.03424,0.01934,0,
2026-07-26T19:11:42.848970,MMTUSDT,1h,BULLISH,OPPORTUNITY,67,44,23,LONDON,5,5,0.1699,0.16874,0.18312,ATR_min,11.4,0.00116,0.01322,0.1699,0.0,FVG_FILL_ENTRY,hot,,1.69,63.6,False,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,new,,0.00233,0.00116,0,
2026-07-26T19:11:42.999358,MSFTBUSDT,1h,BULLISH,WATCH,57,44,13,LONDON,5,5,384.09,382.52,386.445,SSL,1.5,1.57,2.355,384.09,0.0,FVG_FILL_ENTRY,hot,,2.21,68.9,False,,BULLISH_OB,2,BULLISH,,False,,,,0,,new,,1.01714,1.57,0,
2026-07-26T19:26:38.578322,PSGUSDT,1h,BEARISH,WATCH,48,28,20,LONDON,5,5,0.521,0.523,0.51695,BSL,2.02,0.002,0.00405,0.521,0.0,MSB_RETEST,hot,13,4.2,75.0,False,,BEARISH_OB,6,,,True,BULLISH,,,0,,revalidated,,0.00336,0.002,0,
